gene_IDs	gene_names	K_score
XNR_1022	XNR_1022	63.4375
XNR_4004	XNR_4004	63.4375
XNR_5169	XNR_5169	63.4375
XNR_5592	XNR_5592	1.00292273542906
XNR_5160	XNR_5160	0.742152138383725
XNR_0133	XNR_0133	0.725749288636293
XNR_1712	XNR_1712	0.725749288636293
XNR_2398	XNR_2398	0.724751407066717
XNR_2078	XNR_2078	0.721319741264765
XNR_0195	XNR_0195	0.71875
XNR_5598	XNR_5598	0.71875
XNR_3914	XNR_3914	0.685416666666665
XNR_5051	XNR_5051	0.65591047991298
XNR_2238	XNR_2238	0.65525325930511
XNR_4014	XNR_4014	0.318446775877356
XNR_4933	XNR_4933	0.302083333333333
XNR_0644	XNR_0644	0.237500000017968
XNR_4062	XNR_4062	0.237500000000014
XNR_0300	XNR_0300	0.151294811990748
XNR_1438	XNR_1438	0.151294811990748
XNR_4214	XNR_4214	0.151294811990748
XNR_1417	XNR_1417	0.150302021638627
XNR_2271	XNR_2271	0.145344021182154
XNR_3672	XNR_3672	0.142732325328107
XNR_0151	XNR_0151	0.139353929779679
XNR_1951	XNR_1951	0.139353929779679
XNR_0335	XNR_0335	0.139353929779679
XNR_1409	XNR_1409	0.133210043729057
XNR_5151	XNR_5151	0.110618008815815
XNR_0027	XNR_0027	-Inf
XNR_2490	XNR_2490	-Inf
XNR_3310	XNR_3310	-Inf
XNR_4725	XNR_4725	-Inf
XNR_4929	XNR_4929	-Inf
XNR_5582	XNR_5582	-Inf
XNR_5664	XNR_5664	-Inf
